"B cells naive"	"B cells memory"	"Plasma cells"	"T cells CD8"	"T cells CD4 naive"	"T cells CD4 memory resting"	"T cells CD4 memory activated"	"T cells follicular helper"	"T cells regulatory (Tregs)"	"T cells gamma delta"	"NK cells resting"	"NK cells activated"	"Monocytes"	"Macrophages M0"	"Macrophages M1"	"Macrophages M2"	"Dendritic cells resting"	"Dendritic cells activated"	"Mast cells resting"	"Mast cells activated"	"Eosinophils"	"Neutrophils"	"P-value"	"Correlation"	"RMSE"
"sample1"	0.0270067719586816	0.16178335800548	0.360071169011958	0	0.0487871283701429	0	0	0.027208753990702	0	0.0581953700571282	0.0505099877470227	0	0	0.00972055422309934	0.0431945807737935	0.104370897173623	0	0	0	0	0	0.109151428688369	0.64	0.213279435939159	0.955724207242228
"sample2"	0	0	0	0.0660790655992972	0.132754738669345	0.275322034405689	0	0	0.128826776746989	0	0	0.0287303458493807	0.112040390652919	0	0.0305959828893125	0	0	0	0	0.0352568361368242	0.0129291652820893	0.177464663768155	0.61	0.257675947064784	0.992711376502656
"sample3"	0	0.0219768848164895	0.137738954037761	0.0203563890506533	0.228940316866123	0	0	0	0	0	0.0272962060978114	0	0.0678949571336366	0	0	0	0	0	0	0.0220359270459596	0	0.473760364951566	0.79	0.0264982266611296	1.04257411822423
"sample4"	0.00211787709227358	0.0610270470240024	0.111883760133622	0	0.260096886856163	0	0.0394957456507482	0	0	0	0.073943113010417	0	0.0490737380049241	0	0	0	0	0	0	0.0213398768213535	0	0.381021955406496	0.76	0.0952294522490303	1.02674617092124
"sample5"	0.00436181439810498	0.0650695882680019	0.142381302951934	0	0.27437061392523	0	0.0250262738878358	0	0	0	0.0624970750550288	0	0.0492164997994808	0	0	0	0	0	0	0.0208789969301678	0	0.356197834784216	0.7	0.170827255291626	0.998791673307788
"sample6"	0	0.0540757583993144	0.187849884535111	0.0390124302071933	0.119207526449897	0	0.0634877505277885	0	0.000885224687427905	0.0757214588619571	0.038918054000963	0	0	0.00287773634328092	0	0.093182739286879	0	0.0144092349321274	0	0	0	0.310372201768061	0.78	0.0442472831362451	1.00464275949702
"sample7"	0	0.0485179659532882	0.145789444303021	0.0357491506717763	0.146099129888841	0	0.0707073510579249	0	0	0.0764972231124361	0.0324768474071062	0	0	0	0	0.0961294115804339	0	0.0137121437267867	0	0.00481114327242644	0	0.329510189025959	0.82	0.00314897521035568	1.02574487621843
"sample8"	0	0.0130916553879333	0.124736632466817	0.0274179064241492	0.206944188444411	0	0.0562055934701396	0	0	0.0691095610116283	0.0191445547841498	0	0	0	0	0.100564209297998	0	0	0	0.0144048909010476	0	0.368380807811726	0.75	0.113675699952674	1.00243038264452
"sample9"	0.00157532975240867	0.101675194733249	0.133958893895049	0.040640377283917	0.235172471708388	0	0	0	0	0.00925821892917013	0.0400593539774788	0	0.0748653012176281	0	0	0	0	0	0.00100902270146329	0.0173634103384675	0	0.34442242546278	0.7	0.167186807395482	0.991049001855928
"sample10"	0	0.0536691815400968	0.166488188822166	0.0324784193013214	0.151662380012443	0	0.05503613885814	0	0	0.0815519245309427	0.0288119093379028	0	0	0	0	0.0811070957075051	0	0	0	0.0113164328918481	0	0.337878328997634	0.73	0.137221529760623	0.98019132438222
